ID,Name,School
2466,Lauren Johnson,Monmouth University
2466,Lauren Johnson,Bryn Mawr
64677,Kyle Johnson,"University of North Carolina, Wilmington"
64677,Kyle Johnson,Mary Washington
85427,Max Mitchell,Colorado School of Mines
85427,Max Mitchell,Ohio Wesleyan
104453,Lauren Gray,University of Arkansas-Little Rock
104453,Lauren Gray,Incarnate Word
114404,Olivia Anderson,Kalamazoo
114404,Olivia Anderson,University of Georgia
116227,Ali Harrison,University of California-Berkeley
116227,Ali Harrison,Duke University
124502,Maggie Miller,University of New England
124502,Maggie Miller,Southern Illinois University
151792,Lauren Stone,"Fairleigh Dickinson University, Madison"
151792,Lauren Stone,Piedmont University
157292,Megan Gallagher,Oklahoma Baptist University
157292,Megan Gallagher,Eastern Connecticut State University
167068,Megan Pierce,St Norbert College
167068,Megan Pierce,Manchester
167089,Ella Thompson,Truman State University
167089,Ella Thompson,American
167981,Megan Morris,Fordham
167981,Megan Morris,Texas Christian University
169385,Ryan Burke,Concordia University Irvine
169385,Ryan Burke,Maine Maritime
179832,Lauren Thompson,Indiana University-Indianapolis
179832,Lauren Thompson,Southern Methodist University
181759,Hannah Smith,Ferrum
181759,Hannah Smith,Berry College
181759,Hannah Smith,John Carroll University
187922,Alex Watson,Maine
187922,Alex Watson,Johns Hopkins
189733,Evan Miller,Ohio Northern
189733,Evan Miller,Saginaw Valley State University
194547,Sean Smith,Carleton
194547,Sean Smith,Catawba
196082,Emily Murphy,William Paterson University of New Jersey
196082,Emily Murphy,Trinity College (Connecticut)
197153,Sophia Moore,Northern Michigan University
197457,Quinn Smith,Marist
197457,Quinn Smith,Missouri State University
219460,Andrew Martin,Northwestern University
219460,Andrew Martin,Xavier University
223109,Bailey Smith,Hope College
223109,Bailey Smith,Northeastern
224047,Jack Kelly,Brown University
224047,Jack Kelly,Clarkson University
236010,Hannah Elliott,Rhodes College
236010,Hannah Elliott,Carthage College
237640,Amanda Smith,Indiana Wesleyan University
238463,Emily Martin,Berry College
238463,Emily Martin,Westfield State University
238463,Emily Martin,Illinois
238463,Emily Martin,Augustana
238846,Kyle Chang,Occidental College
238846,Kyle Chang,Worcester Polytechnic Institute
239886,Jordan Anderson,Saint Benedict
239886,Jordan Anderson,Lindenwood
240509,Brayden Murphy,Rider University
243222,Natalie Davis,William Jewell College
243222,Natalie Davis,Saint Peters University
245118,Mason Adams,Canisius
245118,Mason Adams,Augustana
249197,Megan Miller,Regis College (Massachusetts)
249197,Megan Miller,Rowan University
249197,Megan Miller,Quincy University
249197,Megan Miller,University of Mary
261850,Patrick Sullivan,"College of New Jersey, The"
263666,Peyton Wilson,"University of North Carolina, Wilmington"
263666,Peyton Wilson,San Diego State University
264722,Ethan Hanson,McKendree
269216,Rachel Brown,Trinity University (Texas)
269216,Rachel Brown,Siena College
270121,Jacob Rubin,Florida Atlantic University
270121,Jacob Rubin,University of Montevallo
270121,Jacob Rubin,Florida Atlantic University
273462,Cameron Smith,University of Montevallo
273825,Sarah Wilson,Southern Virginia University
273825,Sarah Wilson,Brigham Young
280609,Emma Thomas,Rochester Institute of Technology
280609,Emma Thomas,Husson
281351,Sam Russell,Rochester Institute of Technology
281351,Sam Russell,Bellarmine
286783,Daniel Young,University of Arizona
286783,Daniel Young,"University of Nebraska, Omaha"
288526,Summer Martin,Bridgewater State University
290327,Ryan Smith,University of Wisconsin-Eau Claire
290327,Ryan Smith,Piedmont University
290537,Walker Wilson,Pacific
291407,Ryan Brown,Alfred
291407,Ryan Brown,Henderson State University
291733,Olivia Johnson,Macalester College
291733,Olivia Johnson,University of Nebraska at Kearney
295739,Ryan Clark,State University of New York at Geneseo
295739,Ryan Clark,University of Missouri-St. Louis
295739,Ryan Clark,Linfield University
300311,Elizabeth Bailey,Brooklyn
301854,Pharis Musleh,Oklahoma Christi
301854,Pharis Musleh,"University of Nebraska, Omaha"
302279,Daniel Moore,Birmingham Southern College
306081,Andrew Kelley,Dickinson
306982,Julia Keller,Eastern Connecticut State University
307088,Natalie Nelson,Ithaca
308842,Gavin Jones,Villanova University
308842,Gavin Jones,Denison
308892,Delaney Carey,Marymount
309804,Alex Sanchez,Texas A&M University
319811,Jacob Bailey,Penn State Behrend University
321887,Pierce Lively,University of Evansville
321887,Pierce Lively,University of Evansville
322102,Matthew Shelton,University of the Ozarks
323010,Emily Wang,Massachusetts Institute of Technology
326204,Brooke Boyd,Arcadia University
327580,Sarah Thompson,Saginaw Valley State University
327580,Sarah Thompson,Franklin & Marshall College
329422,Evan Zhang,California Institute of Technology
329550,Emma Corby,Alaska Fairbanks
329586,Megan Smith,Rider University
329586,Megan Smith,Niagara
329586,Megan Smith,Incarnate Word
330627,Nick Smith,Middlebury College
330627,Nick Smith,Springfield College
331323,Cora Martin,University of Wisconsin-Eau Claire
331395,Katie Walker,Ball State
331395,Katie Walker,Texas A&M University
331479,Ben Smith,Claremont McKenna-Harvey Mudd-Scripps Colleges
331479,Ben Smith,State University of New York at Cortland
335423,Matt King,University of Alabama
335423,Matt King,University of Virginia
336207,Anna Liu,Swarthmore
338156,David Turner,St Norbert College
342311,Mark Miller,Millikin University
342311,Mark Miller,Malone
342424,Julia McCarthy,Providence College
343077,Adam Boerner,St Norbert College
343850,Morgan Hall,Mars Hill
344832,Andrew Rodriguez,University of Wyoming
344832,Andrew Rodriguez,University of Wyoming
345045,Shannon Kearney,Rochester
346783,Emma Otten,Grove City College
346999,Connor Wright,Wingate University
347082,Sarah Martin,University of Redlands
347636,Emma Frey,Southwestern University
347731,Delaney Smith,Sacred Heart University
348393,Elizabeth Walsh,Bowdoin
349103,Jack Murphy,Gettysburg
354325,Elizabeth Myers,Frostburg State University
356437,Anna Miller,University of North Carolina-Pembroke
356437,Anna Miller,Washington College (Maryland)
356493,Andrew Davis,Niagara
356783,Madeline Hart,Knox College
356789,Sarah Hardy,U.S. Coast Guard Academy
357053,Zander Minano,SIUC (M)
357079,Emily Ward,Washington State University
357424,Daniel Kim,Princeton
358464,Olivia Smith,University of Georgia
358464,Olivia Smith,Mount Union
358464,Olivia Smith,UC Davis
358464,Olivia Smith,Kenyon
358464,Olivia Smith,Piedmont University
358734,Molly Jordan,Skidmore College
358952,Grace Johnson,University of South Dakota
361874,Connor Doyle,Virginia Military Institute
361874,Connor Doyle,Tufts University
362944,Jordyn Miller,Mount Union
362944,Jordyn Miller,Birmingham Southern College
363076,Sam Jennings,Ball State
363076,Sam Jennings,Grand Canyon University
364019,Emily Thomas,State University of New York at Geneseo
367142,Haley Griffin,Gannon
367281,Maggie Bilquin,Buffalo St.
367312,Elle Holland,University of Mary
367459,Kelly Burns,Bridgewater State University
368018,Abigail Gibbons,Auburn University
368116,Molly Miller,Union
371743,Caroline Anderson,Widener University
371743,Caroline Anderson,Pepperdine University
371972,Melina Hughes,University of New Mexico
372388,Logan Anderson,University of Evansville
372388,Logan Anderson,University of Evansville
375978,Sophia Perez,Duquesne
376063,Adrian Aguilar,Macalester College
376629,Lauren Olson,Concordia University Irvine
377196,Caroline Eckel,UC Davis
377247,Sasha Liu,American
383448,Ethan Banks,Wheeling University
384509,Sarah Alexander,Saint Vincent College
389668,Jack Rose,Carson-Newman
389792,Mitchell Johnson,University of Illinois at Chicago
389792,Mitchell Johnson,University of Illinois at Chicago
392665,Ian Johnson,Grinnell College
393533,Kira Parker,Northeastern
393647,James Lyon,York College (Pennsylvania)
394628,Andrew Lee,Monmouth University
394628,Andrew Lee,Linfield University
394628,Andrew Lee,University of Pennsylvania
394628,Andrew Lee,Hanover
394628,Andrew Lee,Lake Forest
395215,Molly Davis,Chapman
395230,Lauren Kelly,Denison
397408,Patrick Boyle,Loyola University (Maryland)
397429,Michael Chang,Whitman College
398772,Stephen Johnson,Boston U
398919,Paige Mitchell,University of Massachusetts (Amherst)
399519,Kayla Smith,Pepperdine University
399519,Kayla Smith,University of Redlands
399725,Adam Smith,Arcadia University
399890,Mackenzie Thomas,UMBC
400343,Daniel Mullen,State University of New York at Cobleskill
400878,Matthew Fritz,Washington and Lee University
401715,Luke Engel,Hamilton
401756,Joseph Bozzi,University of Tampa
402686,Ethan Anderson,Quincy University
402686,Ethan Anderson,University of Wisconsin-Stevens Point
403328,Lauren Thomas,Wheeling University
403328,Lauren Thomas,Trinity College (Connecticut)
403420,Sam Smith,Southern Indiana
403420,Sam Smith,Loyola Marymount University
403720,Emma Brady,Tulane University
403755,Ryan King,Susquehanna
403755,Ryan King,Arizona St
404618,Molly Kennedy,Southern Conn
404986,Becca Lazerson,Rainey McCullers School
408940,Lauren Smith,Stevens Institute
408940,Lauren Smith,Biola University
410034,Emma Stephenson,Oneonta State University
411835,Michael Lee,Rensselaer Polytechnic Institute
412264,Grace Carey,University of New Mexico
412264,Grace Carey,West Chester
412878,Ethan Shaw,Florida Southern
413770,Riley Dafoe,Niagara
416653,Joseph Clark,Delaware
417041,Riley Parker,George Fox
417844,Maya Wilson,Frostburg State University
418204,Brooke Lamoureux,William & Mary
418407,Kelsea Wright,Dixie State
418653,Jonathan Tan,Stanford
418877,Justin Wong,Dickinson
418926,Jessica Davis,Cincinnati
419079,Sean Foster,Saint Lawrence
419152,Evan Carlson,Barton
419489,Jacob Powell,Ball State
420472,Elinah Phillip,Florida Int'l
421865,Audrey Dixon,Milwaukee
422090,Ethan Fox,Lewis
423056,Claire Campbell,Hamilton
423716,Emily Vasquez,Virginia Tech
424078,Lauren Ostrander,California State University East Bay
424214,Luke Davis,Mount Saint Mary's University (MD)
431203,Jack Van Meter,Allegheny
432801,Dylan White,U.S. Merchant Marine Academy
432986,Emma Stewart,Berry College
437399,Joshua Brown,Salisbury University
445127,Olivia Stevenson,Wesleyan University
445330,Hannah Hudson,Lees-McRae College
445823,Anna Tindall,Augustana College
446474,Morgan Beebe,UM Dartmouth
448083,Emily Rundahl,UW-Whitewater
448593,Jered Moore,SIUC (M)
449991,Kate Baker,University of the South (Sewanee)
450287,Emma Weber,Hood
450287,Emma Weber,Niagara
451711,Emily Jones,University of Alabama
453789,Dalton Fink,Arcadia University
453950,Michael Foley,Louisiana State University
454115,Ryan Maher,Maine Maritime
454314,Vincent Huang,Washington University (Missouri)
455870,Mia Chang,Hunter
455890,Anna Weber,Calvin
456093,Jack Ryan,University of Redlands
456361,Jason Lee,Seton Hall University
456361,Jason Lee,Marywood
456361,Jason Lee,University of Connecticut
457384,Elise Johnson,Wagner
457393,Sarah Brennan,Saint Michaels College
458171,Jack Rogers,New York University
458171,Jack Rogers,Monmouth University
458537,Gavin Rogers,Nebraska Wesleyan University
459781,Emma Taylor,Indiana Wesleyan University
461044,Robert Wagner,St Francis College Brooklyn (New York)
461096,Jeremy Kim,Wesleyan University
461256,Tayla Liddle,West Chester University
463439,John Carroll,Worcester Polytechnic Institute
463612,Viola Hasko,University of Connecticut
463622,Hunter Smith,Lynn
464808,Kolos Nagy,West Chester
466249,Sarah Boyle,Saint Vincent College
467104,Jack Armstrong,Providence College
467104,Jack Armstrong,Hartwick College
467284,Jake Mitchell,University of Florida
467284,Jake Mitchell,Saginaw Valley State University
467284,Jake Mitchell,University of Michigan
475023,Brandon Garcia,Buffalo St.
477460,Liam White,Wilkes
478162,Ana Mashek,Colgate
480579,Riley Brown,Hendrix College
484293,Colton Smith,Susquehanna
484733,Luke Stuart,Texas A&M University
484899,Max White,Vassar College
486911,Ethan Wilson,Greensboro College
486944,Landon Morgan,Olivet Nazarene University
486991,Nathan Braun,Salisbury University
487062,Kevin Chen,Missouri State University
487062,Kevin Chen,Baruch
488530,William Griffith,Warren Wilson
488853,Grace Cooper,Whittier College
489653,Megan Murphy,Incarnate Word
490867,Nicholas Edwards,Rose-Hulman Institute of Technology
490906,Ethan Keyes,Wheaton College (Illinois)
491158,Emma Walker,Mary Washington
491158,Emma Walker,South Carolina
492981,Julie Mason,Case Western
493150,Jake Williams,Saint Mary's College of Maryland
493150,Jake Williams,West Virginia University
493214,Ella Martin,U.S. Air Force Academy
493214,Ella Martin,U.S. Air Force Academy
493278,Jack Meehan,University of California-Berkeley
493358,Sarah Nelson,Occidental College
493358,Sarah Nelson,University of Missouri-St. Louis
493358,Sarah Nelson,Rainey McCullers School
493804,Jerry Chen,Washington University (Missouri)
493866,Matthew Cole,Hartwick College
494430,Jack Hamilton,University of Pennsylvania
494430,Jack Hamilton,University of Southern California
494604,Josh Roberts,Drew
495575,Sarah Daly,University of Connecticut
495977,Lane Wagner,Indiana Wesleyan University
501648,Jack Anderson,University of Notre Dame
503013,Mason Peck,Westminster College
503113,Jason Allen,Missouri State University
503113,Jason Allen,Missouri State University
503247,Anna Baker,State University of New York at Oswego
503287,Sydney Hall,Gardner-Webb University
503287,Sydney Hall,Mary Washington
503919,Brenna McLaughlin,Stony Brook
503919,Brenna McLaughlin,Canisius
505228,Andrew Johnson,Missouri State University
505228,Andrew Johnson,Kings College (Pennsylvania)
505282,Portia Blackert,Dixie State
505829,Jordan Williams,Keene State College
506402,Jenna Watson,Wells
508139,Hannah Hale,University of Lynchburg
508614,Filip Duric,Oklahoma Baptist University
508614,Filip Duric,St Francis College Brooklyn (New York)
