ID,Name,School
880302,Lauren Johnson,Bryn Mawr
1653662,Kyle Johnson,"University of North Carolina, Wilmington"
1653662,Kyle Johnson,Mary Washington
1131128,Max Mitchell,Colorado School of Mines
483789,Max Mitchell,Ohio Wesleyan
403694,Lauren Gray,University of Arkansas-Little Rock
403694,Lauren Gray,Incarnate Word
367484,Olivia Anderson,Kalamazoo
423467,Olivia Anderson,University of Georgia
289498,Ali Harrison,University of California-Berkeley
289498,Ali Harrison,Duke University
336721,Maggie Miller,University of New England
853671,Maggie Miller,Southern Illinois University
1444670,Lauren Stone,"Fairleigh Dickinson University, Madison"
524819,Lauren Stone,Piedmont University
674090,Megan Gallagher,Oklahoma Baptist University
575863,Megan Gallagher,Eastern Connecticut State University
748354,Megan Pierce,St Norbert College
694433,Megan Pierce,Manchester
1860771,Ella Thompson,Truman State University
447488,Ella Thompson,American
388400,Megan Morris,Fordham
388400,Megan Morris,Texas Christian University
709906,Ryan Burke,Maine Maritime
468361,Lauren Thompson,Indiana University-Indianapolis
359233,Lauren Thompson,Southern Methodist University
1184697,Hannah Smith,Ferrum
463641,Hannah Smith,Berry College
851379,Hannah Smith,John Carroll University
522063,Alex Watson,Maine
1152013,Alex Watson,Johns Hopkins
1738224,Evan Miller,Ohio Northern
486824,Evan Miller,Saginaw Valley State University
623207,Sean Smith,Carleton
777758,Sean Smith,Catawba
1188737,Emily Murphy,William Paterson University of New Jersey
367386,Emily Murphy,Trinity College (Connecticut)
2053712,Sophia Moore,Northern Michigan University
1331838,Quinn Smith,Marist
491898,Andrew Martin,Northwestern University
491898,Andrew Martin,Xavier University
458897,Bailey Smith,Hope College
348492,Bailey Smith,Northeastern
721177,Jack Kelly,Brown University
864415,Jack Kelly,Clarkson University
288560,Hannah Elliott,Rhodes College
633874,Hannah Elliott,Carthage College
337718,Amanda Smith,Illinois Wesleyan University
1488417,Emily Martin,Berry College
1538655,Emily Martin,Westfield State University
64073,Emily Martin,Illinois
630542,Emily Martin,Augustana
419840,Kyle Chang,Occidental College
504659,Kyle Chang,Worcester Polytechnic Institute
588138,Jordan Anderson,Saint Benedict
459303,Jordan Anderson,Lindenwood
526765,Brayden Murphy,Rider University
1689873,Natalie Davis,William Jewell College
356828,Natalie Davis,Saint Peters University
396198,Mason Adams,Canisius
930474,Mason Adams,Augustana
656829,Megan Miller,Regis College (Massachusetts)
521399,Megan Miller,Rowan University
1979284,Megan Miller,Quincy University
1177792,Megan Miller,University of Mary
1194514,Patrick Sullivan,"College of New Jersey, The"
995572,Peyton Wilson,"University of North Carolina, Wilmington"
334062,Peyton Wilson,San Diego State University
598309,Ethan Hanson,McKendree
1454416,Rachel Brown,Trinity University (Texas)
271494,Rachel Brown,Siena College
1160841,Jacob Rubin,Florida Atlantic University
1160841,Jacob Rubin,University of Montevallo
1160841,Jacob Rubin,Florida Atlantic University
1386119,Cameron Smith,University of Montevallo
1997076,Sarah Wilson,Southern Virginia University
520393,Sarah Wilson,Brigham Young
522399,Emma Thomas,Rochester Institute of Technology
712385,Emma Thomas,Husson
404009,Sam Russell,Rochester Institute of Technology
480528,Sam Russell,Bellarmine
495945,Daniel Young,University of Arizona
495945,Daniel Young,"University of Nebraska, Omaha"
2906510,Summer Martin,Bridgewater State University
304423,Ryan Smith,University of Wisconsin-Eau Claire
1215785,Ryan Smith,Piedmont University
459561,Walker Wilson,Pacific
615520,Ryan Brown,Alfred
466717,Ryan Brown,Henderson State University
1335815,Olivia Johnson,Macalester College
575642,Olivia Johnson,University of Nebraska at Kearney
2437993,Ryan Clark,State University of New York at Geneseo
501834,Ryan Clark,University of Missouri-St. Louis
525264,Ryan Clark,Linfield University
329899,Elizabeth Bailey,Brooklyn
551314,Pharis Musleh,Oklahoma Christi
551314,Pharis Musleh,"University of Nebraska, Omaha"
1605853,Daniel Moore,Birmingham Southern College
1977672,Andrew Kelley,Dickinson
806637,Julia Keller,Eastern Connecticut State University
1519437,Natalie Nelson,Ithaca
1329099,Gavin Jones,Villanova University
461040,Gavin Jones,Denison
442972,Delaney Carey,Marymount
746989,Alex Sanchez,Texas A&M University
759135,Jacob Bailey,Penn State Behrend University
488875,Pierce Lively,University of Evansville
488875,Pierce Lively,University of Evansville
977378,Matthew Shelton,University of the Ozarks
368251,Emily Wang,Massachusetts Institute of Technology
2136729,Brooke Boyd,Arcadia University
513597,Sarah Thompson,Saginaw Valley State University
964658,Sarah Thompson,Franklin & Marshall College
529957,Evan Zhang,California Institute of Technology
329550,Emma Corby,Alaska Fairbanks
1396132,Megan Smith,Rider University
597951,Megan Smith,Niagara
991069,Megan Smith,Incarnate Word
664305,Nick Smith,Middlebury College
406942,Nick Smith,Springfield College
2054922,Cora Martin,University of Wisconsin-Eau Claire
360281,Katie Walker,Ball State
1322773,Katie Walker,Texas A&M University
418351,Ben Smith,Claremont McKenna-Harvey Mudd-Scripps Colleges
824197,Ben Smith,State University of New York at Cortland
461228,Matt King,University of Alabama
461228,Matt King,University of Virginia
1508727,Anna Liu,Swarthmore
559938,David Turner,St Norbert College
1521526,Mark Miller,Millikin University
1252450,Mark Miller,Malone
677086,Julia McCarthy,Providence College
859491,Adam Boerner,St Norbert College
