ID,Name,School
2466,Lauren Johnson,Illinois-Chicago
2466,Lauren Johnson,Monmouth
2466,Lauren Johnson,Illinois Chicago (W)
2466,Lauren Johnson,Bryn Mawr
64677,Kyle Johnson,UNC Wilmington
64677,Kyle Johnson,Mary Washington
85427,Max Mitchell,Mines
85427,Max Mitchell,Ohio Wesleyan
104453,Lauren Gray,Little Rock
104453,Lauren Gray,Incarnate Word
114404,Olivia Anderson,Kalamazoo
114404,Olivia Anderson,Georgia
116227,Ali Harrison,California
116227,Ali Harrison,Duke
124502,Maggie Miller,UNE
124502,Maggie Miller,SIUC (W)
148097,Olivia Tighe,Duke
148097,Olivia Tighe,GW
151792,Lauren Stone,FDU-Florham
151792,Lauren Stone,Piedmont
157292,Megan Gallagher,Oklahoma Baptist
157292,Megan Gallagher,E. Connecticut
167068,Megan Pierce,St. Norbert
167068,Megan Pierce,Manchester
167089,Ella Thompson,Truman St.
167089,Ella Thompson,American
167981,Megan Morris,Fordham
167981,Megan Morris,TCU
169385,Ryan Burke,Concordia Irvine
169385,Ryan Burke,Bryant U (M)
169385,Ryan Burke,Maine Maritime
179832,Lauren Thompson,IU Indianapolis
179832,Lauren Thompson,SMU
181759,Hannah Smith,Ferrum
181759,Hannah Smith,Berry
181759,Hannah Smith,John Carroll
182847,Molly Hogg,Boise St
182847,Molly Hogg,Missouri
187922,Alex Watson,Maine
187922,Alex Watson,Johns Hopkins
189733,Evan Miller,Ohio Northern
189733,Evan Miller,Saginaw Valley
194547,Sean Smith,Carleton
194547,Sean Smith,Catawba
196082,Emily Murphy,WPUNJ
196082,Emily Murphy,Trinity C.
197153,Sophia Moore,NMU
197153,Sophia Moore,Yale
197457,Quinn Smith,Marist
197457,Quinn Smith,Missouri St (W)
219460,Andrew Martin,Northwestern
219460,Andrew Martin,Xavier
223109,Bailey Smith,Hope College
223109,Bailey Smith,Northeastern
224047,Jack Kelly,Brown
224047,Jack Kelly,Clarkson
230397,Colton Schnars,Lynchburg
230397,Colton Schnars,Bloomsburg
236010,Hannah Elliott,Rhodes
236010,Hannah Elliott,Carthage
237640,Amanda Smith,IWU
237640,Amanda Smith,Missouri
238463,Emily Martin,Berry
238463,Emily Martin,Westfield State
238463,Emily Martin,Illinois
238463,Emily Martin,Augustana
238846,Kyle Chang,Occidental
238846,Kyle Chang,Worcester Poly
239886,Jordan Anderson,Saint Benedict
239886,Jordan Anderson,Lindenwood
240509,Brayden Murphy,Rider
240509,Brayden Murphy,Brigham Young
242080,Luke Rodarte,Cal Lutheran
242080,Luke Rodarte,California
243222,Natalie Davis,Jewell
243222,Natalie Davis,Saint Peter's
243699,Mary Laurita,Tufts
243699,Mary Laurita,Bowdoin
245118,Mason Adams,Canisius
245118,Mason Adams,Augustana
249197,Megan Miller,Regis
249197,Megan Miller,Rowan
249197,Megan Miller,Quincy
249197,Megan Miller,UMary
261850,Patrick Sullivan,TCNJ
261850,Patrick Sullivan,W&L
263666,Peyton Wilson,UNC Wilmington
263666,Peyton Wilson,Wash U. MO
263666,Peyton Wilson,San Diego St
264722,Ethan Hanson,Colorado College
264722,Ethan Hanson,McKendree
269216,Rachel Brown,Trinity U.
269216,Rachel Brown,Siena
270121,Jacob Rubin,Fla Atlantic (M)
270121,Jacob Rubin,Montevallo
270121,Jacob Rubin,Fla Atlantic (W)
272493,Olivia Sapio,Florida St
272493,Olivia Sapio,Buffalo
273148,Luciana Thomas,Arkansas
273148,Luciana Thomas,Notre Dame
273462,Cameron Smith,Montevallo
273462,Cameron Smith,Arizona St
273825,Sarah Wilson,Sou. Virginia
273825,Sarah Wilson,Campbell
273825,Sarah Wilson,Brigham Young
280609,Emma Thomas,RIT
280609,Emma Thomas,Husson
281351,Sam Russell,RIT
281351,Sam Russell,Bellarmine
