ID,Name,School
187922,Alex Watson,Maine
601986,Zach Bennett,Gardner-Webb University
893664,Joshua Kim,Princeton
542901,Jacob Berkheimer,Missouri State University
1233179,Corbett Wilson,Missouri State University
503113,Jason Allen,Missouri State University
1497260,Noah Smith,Cincinnati
484733,Luke Stuart,Texas A&M University
618361,Jonathan Bennett,West Virginia University
219460,Andrew Martin,Xavier University
1305895,Alex Wright,Virginia Tech
577029,Nathan Moore,University of Texas
2645330,Ricky Williams,Iowa
363076,Sam Jennings,Ball State
493278,Jack Meehan,University of California-Berkeley
335423,Matt King,University of Alabama
309804,Alex Sanchez,Texas A&M University
580808,Chris Morris,University of Minnesota
494430,Jack Hamilton,University of Pennsylvania
372388,Logan Anderson,University of Evansville
684852,Sam Brown,University of Missouri
2926048,Nick Allen,Davis and Elkins College
776072,Max Chen,Johns Hopkins
1198212,Alex Aung,Rensselaer Polytechnic Institute
545685,Mason Kennedy,Messiah University
397159,Julien Legros,University of Connecticut
457324,Sean Geisler,University of Connecticut
477845,Shane Morison,Rainey McCullers School
470765,Jeremy Racey,Rainey McCullers School
455373,Michael Senter,Rainey McCullers School
878070,Jacob Wills,Rainey McCullers School
690555,Jack Higgins,U.S. Merchant Marine Academy
1156327,Joey Slish,Marywood
1186054,Ben Pastva,Rainey McCullers School
2278796,Connor Young,Bridgewater State University
1335042,Justin Finkel,University of Connecticut
404634,Matthew Laclef,University of Connecticut
709934,Liam Merrill,University of Connecticut
1268671,Sam Groleau,University of Connecticut
651007,Jamie Amell,University of Connecticut
585101,Andrew Bartolomucci,University of Connecticut
1157134,Aidan Campbell,Rainey McCullers School
601890,Logan Marks,Bethany
104453,Lauren Gray,Incarnate Word
331395,Katie Walker,Ball State
843583,Haley Angelo,Missouri State University
968711,Mykenzie Liston,Houston
116227,Ali Harrison,University of California-Berkeley
1164462,Abigail Nelson,Northern Arizona University
375978,Sophia Perez,Duquesne
167981,Megan Morris,Texas Christian University
2058272,Katie Dougherty,Rutgers
709938,Rachel Flaherty,Sacred Heart University
368018,Abigail Gibbons,Auburn University
478162,Ana Mashek,Colgate
1759042,Ella Johnson,Long Island University
692009,Maggie McGuire,Auburn University
506430,Kamryn Robarge,Augustana College
401217,Isabel Waite,Augustana College
521183,Justine Stellmaker,Augustana College
588494,Rebecca Schmidt,Augustana College
505361,Alysse Grohs,Augustana College
408112,Hannah Oeltjen,Augustana College
931690,Emily Alama,Augustana College
446697,Lydia Smith,Augustana College
344786,Cailey Scott,Augustana College
401009,Taylor Beagle,Augustana College
474370,Addi Odonnell,West Chester University
405428,Kali Stier,West Chester University
598399,Nicholle Miller,Augustana College
447690,Mary Holthe,Augustana College
1321710,Taylor Grebe,West Chester University
608328,Anna Maurello,West Chester University
1540789,Mia Destefani,Southern Conn
1131570,Maggie Wells,Colorado School of Mines
775541,Jordan Maruska,West Chester University
479902,Emily Jauch,West Chester University
1718061,Maddie Taylor,Millersville
2957326,Caroline Lewis,Susquehanna
657335,Anika Svoboda,University of Connecticut
384644,Vaughn Ammon,University of Connecticut
526257,Jessica Gordon,Amherst
1735034,Emma DiIanni,University of Connecticut
674575,Tiernan Shea,University of Connecticut
1518659,Abby Martin,University of Connecticut
477882,Anya Fitzgerald,University of Connecticut
323874,Brooke Walthall,Rainey McCullers School
378047,Lauren Simonson,Rainey McCullers School
856752,Claire Tanner,Rainey McCullers School
477130,Katie Herzberger,Rainey McCullers School
452775,Emily Fritz,Rainey McCullers School
575894,Sarah Franco,University of Connecticut
1717060,Katelyn Vieni,Rainey McCullers School
616753,Melina Christou,Rainey McCullers School
541571,Olivia Hawkins,Norwich
677953,Hannah Guay,University of Connecticut
1321265,Claire Hoffmann,University of Connecticut
618487,Kierra Parsons,Rainey McCullers School
1783242,Matthew Simpson,Boston U
1505024,Bartlomiej Swiderski,Barton
1397942,Caleb Whittington,Missouri State University
697725,David Schlicht,University of Arizona
377247,Sasha Liu,American
648503,Brady Samuels,Purdue University
286783,Daniel Young,"University of Nebraska, Omaha"
301854,Pharis Musleh,"University of Nebraska, Omaha"
401756,Joseph Bozzi,University of Tampa
456361,Jason Lee,Marywood
494604,Josh Roberts,Drew
394328,Justin Gregory,Rainey McCullers School
501625,Matthew Parisi,Rainey McCullers School
869370,Ryan Deavers,Rainey McCullers School
64677,Kyle Johnson,Mary Washington
464438,Ruth Huffman,Augustana College
505288,Sophie Vigil,West Chester University
405489,Megan Walton,West Chester University
1157141,Mikaela Romano,West Chester University
622050,Molly Lienemann,Augustana College
460647,Demetra Fellows,West Chester University
511273,Makoa Montgomery,Augustana College
1282762,Meghan Mulvihill,Augustana College
884948,Erin Danielewicz,Augustana College
1115522,Leona Coha,Augustana College
845047,Sarah Johnson,Mars Hill
1720121,Molly Devine,Bard
594460,Katie Rock,Kalamazoo
474981,Kelsey Craighead,Rainey McCullers School
494536,Zandy Knoke,Rainey McCullers School
892351,Emily Fox,Washington University (Missouri)
530187,Sophia Hanson,Rainey McCullers School
2085888,Ben Johnson,University of Montevallo
878604,Jonathan Taylor,Calvin
958256,Chloe Walker,West Chester University
508614,Filip Duric,St Francis College Brooklyn (New York)
281351,Sam Russell,Bellarmine
1309165,Amanda Cash,University of Lynchburg
1195508,Quinn McCurry,Missouri State University
487062,Kevin Chen,Baruch
487062,Kevin Chen,Missouri State University
493150,Jake Williams,West Virginia University
508997,Emils Jurcik,Connecticut College
553366,Landon Clark,Xavier University
456361,Jason Lee,Connecticut College
412426,Mcallistar Milne,Connecticut College
354305,Gavin Moak,Connecticut College
1390321,Alex King,University of Michigan
456361,Jason Lee,Seton Hall University
467284,Jake Mitchell,University of Michigan
505228,Andrew Johnson,Missouri State University
335423,Matt King,University of Virginia
2645330,Ricky Williams,Cincinnati
697725,David Schlicht,Arizona St
363076,Sam Jennings,Grand Canyon University
501648,Jack Anderson,University of Notre Dame
555201,Andrew Columbus,Indiana University-Indianapolis
413770,Riley Dafoe,Niagara
467284,Jake Mitchell,University of Florida
418653,Jonathan Tan,Stanford
494430,Jack Hamilton,University of Southern California
403420,Sam Smith,Southern Indiana
580808,Chris Morris,Wisconsin
416653,Joseph Clark,Delaware
937611,Karan Raju,Delaware
618361,Jonathan Bennett,William & Mary
467284,Jake Mitchell,Saginaw Valley State University
1195508,Quinn McCurry,William Jewell College
1505024,Bartlomiej Swiderski,University of Indianapolis
1397942,Caleb Whittington,Truman State University
2085888,Ben Johnson,Henderson State University
698222,Andrew Holmes,Bloomsburg
464808,Kolos Nagy,West Chester
301854,Pharis Musleh,Oklahoma Christi
484899,Max White,Vassar College
437399,Joshua Brown,Salisbury University
486991,Nathan Braun,Salisbury University
847211,Alexander Johnson,Stevens Institute
505228,Andrew Johnson,Kings College (Pennsylvania)
2085888,Ben Johnson,Grinnell College
1180037,Aidan Williams,Macalester College
1131266,Chris Lee,Ramapo College of New Jersey
431203,Jack Van Meter,Allegheny
486911,Ethan Wilson,Greensboro College
601986,Zach Bennett,University of Lynchburg
607988,Grant Davis,University of Lynchburg
493804,Jerry Chen,Washington University (Missouri)
319811,Jacob Bailey,Penn State Behrend University
1325092,Jack Burke,Franklin College
480579,Riley Brown,Hendrix College
490906,Ethan Keyes,Wheaton College (Illinois)
376063,Adrian Aguilar,Macalester College
635493,John Sullivan,Gordon College (MA)
893664,Joshua Kim,Babson
687103,Nathan Ober,Husson
675385,Gavin Smith,Linfield University
400878,Matthew Fritz,Washington and Lee University
1228696,Michael Phillips,Westminster College
456093,Jack Ryan,University of Redlands
488530,William Griffith,Warren Wilson
1165971,Tristan Burrola,Catholic University
713812,Zachary Martin,Lewis and Clark College
302279,Daniel Moore,Birmingham Southern College
776072,Max Chen,California Institute of Technology
950033,Kadin Denner,University of Wisconsin-Eau Claire
567322,Logan Davis,Manchester
679056,Elliot Anderson,Rose-Hulman Institute of Technology
1095825,Ashton Smith,Southern Virginia University
1160896,Ethan Hansen,St Norbert College
493150,Jake Williams,Saint Mary's College of Maryland
601890,Logan Marks,Washington & Jefferson College
2926048,Nick Allen,Hendrix College
